open,high,low,close,vol,volCcy,volCcyQuote,confirm,datetime
67848.5,67945.7,67721.8,67811.6,145945.1,1459.451,99001608.1757,1,2024-05-30 07:00:00
67811.5,68066.6,67500.0,67602.9,302046.4,3020.464,204577104.12,1,2024-05-30 07:30:00
67603.0,67662.5,67134.0,67403.9,549837.5,5498.375,370244784.7529,1,2024-05-30 08:00:00
67403.8,67798.8,67403.1,67704.0,227556.0,2275.56,153765692.8881,1,2024-05-30 08:30:00
67704.1,67777.0,67586.7,67588.9,125035.7,1250.357,84610822.3204,1,2024-05-30 09:00:00
67589.0,67768.0,67479.4,67761.0,96477.5,964.775,65250537.588,1,2024-05-30 09:30:00
67761.1,67774.2,67550.9,67700.1,84408.5,844.085,57120236.2444,1,2024-05-30 10:00:00
67700.1,68012.0,67700.0,67947.5,183838.5,1838.385,124812312.5436,1,2024-05-30 10:30:00
67947.5,68140.4,67863.1,68105.1,127362.6,1273.626,86590058.8441,1,2024-05-30 11:00:00
68105.2,68122.4,67822.0,67822.0,97129.6,971.296,66004454.1471,1,2024-05-30 11:30:00
67822.0,68070.0,67755.4,68037.0,137909.3,1379.093,93682680.0048,1,2024-05-30 12:00:00
68036.9,68336.0,67861.3,68145.3,386065.4,3860.654,263200263.2715,1,2024-05-30 12:30:00
68145.4,68387.6,68050.0,68204.4,172327.6,1723.276,117607913.8647,1,2024-05-30 13:00:00
68204.4,68716.6,68056.5,68617.9,497341.3,4973.413,340424044.4062,1,2024-05-30 13:30:00
68617.8,68835.6,68465.0,68655.9,379264.1,3792.641,260451927.6797,1,2024-05-30 14:00:00
68655.9,68753.1,68253.8,68365.2,292028.1,2920.281,199982566.8806,1,2024-05-30 14:30:00
68365.2,68474.8,68150.0,68428.0,197225.1,1972.251,134693103.2998,1,2024-05-30 15:00:00
68428.0,68628.0,68366.9,68527.9,204518.5,2045.185,140133900.2107,1,2024-05-30 15:30:00
68527.9,68600.0,68376.4,68424.8,132908.9,1329.089,91009742.4685,1,2024-05-30 16:00:00
68424.8,68723.1,68392.4,68689.9,112787.3,1127.873,77323576.0407,1,2024-05-30 16:30:00
68690.0,69147.6,68666.4,69021.9,341547.3,3415.473,235416546.6922,1,2024-05-30 17:00:00
69021.9,69523.9,69021.9,69319.8,455486.0,4554.86,315905876.5453,1,2024-05-30 17:30:00
69319.8,69431.0,69100.0,69299.0,251871.1,2518.711,174458956.966,1,2024-05-30 18:00:00
69299.0,69395.7,69118.5,69374.3,106923.3,1069.233,74060393.7471,1,2024-05-30 18:30:00
69374.4,69389.4,68907.5,68971.5,154635.5,1546.355,106870999.4902,1,2024-05-30 19:00:00
68971.5,69090.0,68433.1,68675.6,318423.8,3184.238,218687929.2434,1,2024-05-30 19:30:00
68670.5,68680.0,68040.0,68462.5,334446.8,3344.468,228369531.5959,1,2024-05-30 20:00:00
68462.5,68560.0,68352.0,68481.8,117119.3,1171.193,80188261.6016,1,2024-05-30 20:30:00
68481.7,68509.4,68332.0,68397.9,71284.7,712.847,48781040.1693,1,2024-05-30 21:00:00
68398.0,68552.5,68375.1,68426.3,36801.7,368.017,25195555.7645,1,2024-05-30 21:30:00
68426.3,68456.1,68242.0,68370.9,77920.8,779.208,53241653.0854,1,2024-05-30 22:00:00
68370.9,68400.0,68302.4,68325.7,31342.7,313.427,21421085.7886,1,2024-05-30 22:30:00
68325.7,68531.9,68256.4,68454.0,75673.2,756.732,51751922.0169,1,2024-05-30 23:00:00
68454.0,68491.1,68339.7,68366.0,54073.2,540.732,36988908.1827,1,2024-05-30 23:30:00
68366.0,68455.7,68306.3,68330.4,51168.1,511.681,34982510.9834,1,2024-05-31 00:00:00
68330.5,68480.0,68281.0,68469.3,56634.3,566.343,38712849.8182,1,2024-05-31 00:30:00
68469.3,68643.0,68419.9,68520.6,113871.6,1138.716,78058438.0796,1,2024-05-31 01:00:00
68520.7,68564.3,68312.9,68444.0,84397.4,843.974,57753717.4714,1,2024-05-31 01:30:00
68444.0,68761.4,68431.1,68537.4,190249.7,1902.497,130507191.2909,1,2024-05-31 02:00:00
68537.4,68611.9,68500.0,68549.1,44933.3,449.333,30798315.5539,1,2024-05-31 02:30:00
68549.1,68574.6,68490.1,68505.7,70024.8,700.248,47980150.7466,1,2024-05-31 03:00:00
68505.8,68640.7,68491.6,68536.2,62139.0,621.39,42609046.026,1,2024-05-31 03:30:00
68536.2,68653.5,68511.4,68516.0,45725.9,457.259,31368639.7346,1,2024-05-31 04:00:00
68516.0,68580.0,68469.8,68519.8,63580.0,635.8,43559082.855,1,2024-05-31 04:30:00
68519.8,68519.9,68280.3,68384.1,101770.8,1017.708,69599074.2231,1,2024-05-31 05:00:00
68384.0,68478.9,68301.1,68440.8,55686.0,556.86,38087040.4535,1,2024-05-31 05:30:00
68440.8,68467.9,68264.7,68403.9,67985.1,679.851,46484239.2773,1,2024-05-31 06:00:00
68403.8,68428.4,68228.8,68284.2,68246.0,682.46,46613437.0198,1,2024-05-31 06:30:00
