open,high,low,close,vol,volCcy,volCcyQuote,confirm,datetime
67799.2,68058.0,67655.9,68057.9,310852.4,3108.524,210936122.7626,1,2024-05-28 05:00:00
68057.9,68098.7,67784.0,67973.9,207402.6,2074.026,140934649.1524,1,2024-05-28 06:00:00
67973.9,68029.6,67677.0,67691.9,239936.2,2399.362,162712290.8912,1,2024-05-28 07:00:00
67692.0,68255.6,67602.0,68161.0,395962.2,3959.622,269156932.7761,1,2024-05-28 08:00:00
68161.0,68533.0,68027.3,68326.2,385032.3,3850.323,262958661.64,1,2024-05-28 09:00:00
68326.2,68900.0,68246.2,68590.0,573088.1,5730.881,393307290.8713,1,2024-05-28 10:00:00
68590.0,68673.5,68276.0,68402.4,343617.4,3436.174,235287802.9945,1,2024-05-28 11:00:00
68402.4,68582.7,68157.9,68213.1,268391.2,2683.912,183486281.5187,1,2024-05-28 12:00:00
68211.1,68500.0,67654.0,67802.7,804156.6,8041.566,547308713.7223,1,2024-05-28 13:00:00
67802.8,68283.2,67511.0,67988.6,780634.1,7806.341,530383481.407,1,2024-05-28 14:00:00
67988.6,68494.5,67743.2,68396.3,454741.6,4547.416,310046913.4318,1,2024-05-28 15:00:00
68396.4,68473.0,67707.9,67720.1,477514.6,4775.146,324820127.4284,1,2024-05-28 16:00:00
67720.2,68176.8,67666.8,67785.9,299101.2,2991.012,203175921.1463,1,2024-05-28 17:00:00
67785.8,68000.0,67250.0,67907.6,539188.0,5391.88,364467267.9024,1,2024-05-28 18:00:00
67907.6,68634.0,67893.3,68451.0,473595.8,4735.958,323546336.486,1,2024-05-28 19:00:00
68451.0,68558.0,68130.6,68344.8,176604.4,1766.044,120714010.8606,1,2024-05-28 20:00:00
68344.8,68595.9,68268.2,68416.3,112289.8,1122.898,76859134.9305,1,2024-05-28 21:00:00
68416.2,68685.7,68394.2,68618.3,172780.7,1727.807,118508355.7457,1,2024-05-28 22:00:00
68618.3,68631.7,68344.9,68404.6,113485.8,1134.858,77702277.681,1,2024-05-28 23:00:00
68404.6,68627.0,68262.0,68505.0,175192.1,1751.921,119977018.6597,1,2024-05-29 00:00:00
68505.0,68725.0,68315.0,68582.1,186484.6,1864.846,127845999.9745,1,2024-05-29 01:00:00
68582.1,68953.6,68458.3,68694.5,365885.0,3658.85,251433849.2945,1,2024-05-29 02:00:00
68694.5,68915.5,68690.2,68844.3,237614.7,2376.147,163533142.5034,1,2024-05-29 03:00:00
68844.4,68947.5,68771.6,68864.7,215636.2,2156.362,148508264.2976,1,2024-05-29 04:00:00
