open,high,low,close,vol,volCcy,volCcyQuote,confirm,datetime
68183.4,68302.6,68166.4,68276.0,60589.5,605.895,41345688.7531,1,2024-05-31 08:00:00
68276.0,68330.3,68223.1,68223.1,28923.2,289.232,19748986.4661,1,2024-05-31 08:15:00
68223.1,68285.7,68168.2,68271.9,28185.1,281.851,19229634.599,1,2024-05-31 08:30:00
68271.9,68271.9,68131.8,68137.6,32469.0,324.69,22139316.0127,1,2024-05-31 08:45:00
68137.5,68197.9,68100.0,68177.2,39475.4,394.754,26895559.9311,1,2024-05-31 09:00:00
68177.2,68177.3,67873.5,67931.9,173747.2,1737.472,118094576.9431,1,2024-05-31 09:15:00
67931.9,68012.3,67876.6,67995.8,62239.7,622.397,42292359.726,1,2024-05-31 09:30:00
67995.9,68010.0,67888.0,67947.9,44383.6,443.836,30157614.8765,1,2024-05-31 09:45:00
67948.0,68287.0,67927.1,68211.1,150550.7,1505.507,102625827.4208,1,2024-05-31 10:00:00
68211.1,68219.8,68120.3,68157.5,62552.3,625.523,42631372.863,1,2024-05-31 10:15:00
68157.5,68268.0,68101.3,68250.8,46644.7,466.447,31801019.0305,1,2024-05-31 10:30:00
68250.7,68352.4,68190.4,68343.8,56755.9,567.559,38744626.6096,1,2024-05-31 10:45:00
68343.8,68445.2,68281.7,68410.5,69991.5,699.915,47841548.8701,1,2024-05-31 11:00:00
68410.5,68416.6,68300.0,68300.0,50555.6,505.556,34564692.2802,1,2024-05-31 11:15:00
68300.0,68475.5,68300.0,68412.1,88938.5,889.385,60842885.0536,1,2024-05-31 11:30:00
68412.0,68437.2,68351.0,68362.2,31085.2,310.852,21260037.3254,1,2024-05-31 11:45:00
68362.3,68487.7,68327.4,68396.7,91773.6,917.736,62784133.9215,1,2024-05-31 12:00:00
68396.7,68600.0,68373.4,68562.0,116697.2,1166.972,79943483.1862,1,2024-05-31 12:15:00
68562.1,69062.8,68562.1,68872.0,510126.1,5101.261,351311773.655,1,2024-05-31 12:30:00
68871.9,68966.3,68530.0,68629.9,154638.9,1546.389,106297322.6988,1,2024-05-31 12:45:00
68629.9,68820.0,68601.8,68720.4,100028.7,1000.287,68732564.5457,1,2024-05-31 13:00:00
68720.3,68820.0,68620.0,68700.1,79356.1,793.561,54531464.8647,1,2024-05-31 13:15:00
68700.1,68780.9,68111.0,68418.0,411543.9,4115.439,281290712.5673,1,2024-05-31 13:30:00
68418.1,68445.5,68015.6,68064.1,177701.6,1777.016,121193740.338,1,2024-05-31 13:45:00
68064.1,68069.0,67727.2,67810.2,331626.7,3316.267,225121119.0294,1,2024-05-31 14:00:00
67810.2,67950.0,67666.0,67755.1,171811.5,1718.115,116486274.2221,1,2024-05-31 14:15:00
67755.1,67860.9,67353.7,67355.5,386301.8,3863.018,261039491.8191,1,2024-05-31 14:30:00
67358.3,67551.2,67288.0,67506.2,222504.4,2225.044,150044261.3213,1,2024-05-31 14:45:00
67506.2,67560.0,67300.0,67326.8,120836.8,1208.368,81456756.713,1,2024-05-31 15:00:00
67326.7,67500.0,67226.0,67464.0,160315.1,1603.151,108009818.2484,1,2024-05-31 15:15:00
67464.0,67480.0,67210.2,67432.3,123782.8,1237.828,83373269.4577,1,2024-05-31 15:30:00
67432.2,67432.2,67200.4,67219.7,98177.6,981.776,66084372.9373,1,2024-05-31 15:45:00
67219.6,67372.3,66829.0,66832.2,563805.3,5638.053,377942974.7897,1,2024-05-31 16:00:00
