entry_type,exit_reason,entry_price,exit_price,entry_time,exit_time,qty,pnl,net,balance
short,take_profit,95781.4,95293.85628176447,2025-02-03 17:35:00,2025-02-03 17:55:00,0.0415,20.2331,12.317,1803.0115
short,stop_loss,97973.7,98288.23928138257,2025-02-05 19:40:00,2025-02-05 20:00:00,0.0405,-12.7388,-20.7068,1782.3047
short,stop_loss,98560.0,98947.1814211779,2025-02-05 22:25:00,2025-02-05 22:40:00,0.0403,-15.6034,-23.5835,1758.7212
short,take_profit,98863.9,98441.65571730072,2025-02-06 20:00:00,2025-02-06 20:30:00,0.0402,16.9742,9.0496,1767.7708
long,take_profit,96519.1,96832.26283836596,2025-02-07 01:20:00,2025-02-07 01:35:00,0.041100000000000005,12.871,4.9064,1772.6772
short,take_profit,97627.6,97351.04341632126,2025-02-07 12:30:00,2025-02-07 13:10:00,0.0407,11.2559,3.3182,1775.9954
short,stop_loss,97401.0,97604.51478448881,2025-02-07 18:35:00,2025-02-07 19:10:00,0.0408,-8.3034,-16.2795,1759.7159
long,stop_loss,96130.0,96012.29192984375,2025-02-08 14:40:00,2025-02-08 14:55:00,0.0413,-4.8613,-12.7969,1746.919
short,take_profit,98000.0,97765.6832667956,2025-02-11 10:00:00,2025-02-11 10:15:00,0.0405,9.4898,1.5658,1748.4848
long,stop_loss,96615.1,96463.99324665646,2025-02-14 21:15:00,2025-02-14 21:25:00,0.041100000000000005,-6.2105,-14.1431,1734.3417
long,stop_loss,96098.5,95968.87089865639,2025-02-17 12:55:00,2025-02-17 13:00:00,0.0413,-5.3537,-13.2824,1721.0593
short,stop_loss,97246.3,97346.03436240148,2025-02-20 18:50:00,2025-02-20 18:55:00,0.0408,-4.0692,-12.0143,1709.0451
short,stop_loss,98445.9,98526.47789831743,2025-02-21 15:15:00,2025-02-21 15:20:00,0.0403,-3.2473,-11.1902,1697.8549
short,stop_loss,86023.2,86293.66230954685,2025-03-02 08:15:00,2025-03-02 08:50:00,0.046200000000000005,-12.4954,-20.4805,1677.3744
long,stop_loss,85934.4,84661.84326045353,2025-03-04 04:05:00,2025-03-04 09:35:00,0.046200000000000005,-58.7921,-66.7241,1610.6503
short,stop_loss,79868.0,80524.15049591976,2025-03-11 12:25:00,2025-03-11 14:10:00,0.0497,-32.6107,-40.6495,1570.0008
short,stop_loss,83412.2,83676.99957811038,2025-03-14 20:40:00,2025-03-14 21:30:00,0.0476,-12.6045,-20.5871,1549.4138
long,take_profit,83933.0,84309.27317938227,2025-03-29 00:25:00,2025-03-29 06:30:00,0.0473,17.7977,9.7013,1559.1151
long,take_profit,83023.9,83171.124151208,2025-03-30 20:15:00,2025-03-30 20:25:00,0.0478,7.0373,-0.9172,1558.1979
long,stop_loss,84536.8,84361.79927336075,2025-04-02 12:55:00,2025-04-02 13:15:00,0.047,-8.225,-16.1617,1542.0363
long,stop_loss,79496.8,79172.63179733776,2025-04-08 15:15:00,2025-04-08 16:10:00,0.05,-16.2084,-24.1439,1517.8924
long,stop_loss,84079.9,83773.39113571476,2025-04-16 03:55:00,2025-04-16 06:45:00,0.0472,-14.4672,-22.4316,1495.4607
short,take_profit,84554.9,84267.8159180366,2025-04-17 06:00:00,2025-04-17 07:15:00,0.047,13.493,5.5469,1501.0077
long,stop_loss,84427.5,84323.65409843647,2025-04-20 18:35:00,2025-04-20 18:40:00,0.047,-4.8808,-12.8088,1488.1988
long,take_profit,93849.2,94111.36523609671,2025-04-28 01:00:00,2025-04-28 01:15:00,0.042300000000000004,11.0896,3.1228,1491.3216
short,take_profit,94602.9,94391.01472986054,2025-05-05 16:10:00,2025-05-05 18:05:00,0.042,8.8992,0.9323,1492.2539
short,stop_loss,94400.1,94868.09870831002,2025-05-07 00:25:00,2025-05-07 02:25:00,0.042100000000000005,-19.7027,-27.7304,1464.5235
short,stop_loss,97200.0,97608.9188155852,2025-05-07 08:30:00,2025-05-07 09:05:00,0.0409,-16.7248,-24.7208,1439.8027
short,take_profit,103924.1,103529.81193041166,2025-05-16 01:30:00,2025-05-16 02:20:00,0.038200000000000005,15.0618,7.1356,1446.9383
short,take_profit,103761.9,103611.9930527808,2025-05-16 18:40:00,2025-05-16 19:25:00,0.0383,5.7414,-2.2101,1444.7282
short,take_profit,103544.1,103377.67691935519,2025-05-17 12:25:00,2025-05-17 13:45:00,0.038400000000000004,6.3906,-1.5753,1443.1529
short,take_profit,103556.0,103393.64737705645,2025-05-17 13:10:00,2025-05-17 13:45:00,0.0383,6.2181,-1.7134,1441.4395
long,take_profit,105019.0,105310.58943261512,2025-05-20 16:20:00,2025-05-20 17:30:00,0.0378,11.0221,3.0374,1444.4769
long,take_profit,105000.0,105358.02630592398,2025-05-20 16:35:00,2025-05-20 17:50:00,0.0378,13.5334,5.5435,1450.0205
long,take_profit,108968.3,109264.71309262948,2025-05-27 03:45:00,2025-05-27 04:10:00,0.0364,10.7894,2.8267,1452.8472
short,take_profit,104793.0,104681.71430754529,2025-06-01 05:55:00,2025-06-01 05:55:00,0.0379,4.2177,-3.7171,1449.13
short,stop_loss,105400.7,105619.28625303185,2025-06-02 16:20:00,2025-06-02 16:25:00,0.037700000000000004,-8.2407,-16.2061,1432.924
long,take_profit,103939.9,104152.3256100844,2025-06-02 20:15:00,2025-06-02 20:40:00,0.038200000000000005,8.1147,0.1491,1433.0731
long,take_profit,105443.0,105791.25829608279,2025-06-04 06:05:00,2025-06-04 06:30:00,0.037700000000000004,13.1293,5.1444,1438.2175
short,take_profit,105821.6,105732.00633368127,2025-06-08 04:30:00,2025-06-08 05:45:00,0.0375,3.3598,-4.5949,1433.6226
short,take_profit,106245.8,106071.35318496845,2025-06-09 01:30:00,2025-06-09 01:55:00,0.0374,6.5243,-1.4181,1432.2045
short,take_profit,106199.9,106011.03234233806,2025-06-09 01:45:00,2025-06-09 02:00:00,0.0374,7.0637,-0.8709,1431.3335
short,stop_loss,108500.0,108784.17387074942,2025-06-10 03:35:00,2025-06-10 05:00:00,0.0366,-10.4008,-18.3919,1412.9416
long,take_profit,109630.7,109821.15886356635,2025-06-11 10:55:00,2025-06-11 11:20:00,0.0362,6.8946,-1.0647,1411.8769
long,take_profit,105233.7,105331.75064726394,2025-06-14 11:25:00,2025-06-14 11:30:00,0.037700000000000004,3.6965,-4.2472,1407.6298
short,take_profit,105450.0,105344.05313680602,2025-06-18 13:50:00,2025-06-18 13:50:00,0.037700000000000004,3.9942,-3.9487,1403.681
long,take_profit,101180.7,101397.45191594727,2025-06-23 20:25:00,2025-06-23 20:40:00,0.0392,8.4967,0.5422,1404.2232
short,take_profit,109422.9,109268.2123223052,2025-07-03 15:00:00,2025-07-03 15:00:00,0.0363,5.6152,-2.3177,1401.9055
