entry_type,exit_reason,entry_price,exit_price,entry_time,exit_time,qty,pnl,net,balance
short,take_profit,63682.0,63418.48181200578,2024-07-01 10:10:00,2024-07-01 10:30:00,0.062400000000000004,16.4435,8.5223,2008.5223
short,take_profit,58225.8,57957.12677283965,2024-07-05 01:35:00,2024-07-05 02:10:00,0.0682,18.3235,10.4066,2018.9289
long,take_profit,54040.0,54641.471914991955,2024-07-05 13:05:00,2024-07-05 13:45:00,0.07350000000000001,44.2082,36.1626,2055.0915
long,take_profit,58461.9,58728.53656212206,2024-07-10 18:20:00,2024-07-10 18:35:00,0.068,18.1313,10.1392,2065.2308
short,take_profit,64988.9,64650.42118120961,2024-07-17 04:25:00,2024-07-17 04:55:00,0.0611,20.6811,12.7708,2078.0016
long,stop_loss,66535.9,66437.76653730849,2024-07-20 20:05:00,2024-07-20 21:10:00,0.0597,-5.8586,-13.8128,2064.1888
long,stop_loss,65859.9,65567.26670323106,2024-07-24 01:55:00,2024-07-24 03:50:00,0.0603,-17.6458,-25.5913,2038.5976
long,take_profit,63900.0,64226.963654513616,2024-08-01 11:20:00,2024-08-01 13:40:00,0.062200000000000005,20.3371,12.3009,2050.8985
short,stop_loss,64359.5,64515.97617289907,2024-08-01 15:25:00,2024-08-01 16:35:00,0.061700000000000005,-9.6546,-17.639,2033.2595
short,stop_loss,63527.3,63733.715351915096,2024-08-02 04:15:00,2024-08-02 04:30:00,0.0625,-12.901,-20.8726,2012.3869
short,stop_loss,56502.7,57058.88740160156,2024-08-07 00:25:00,2024-08-07 02:15:00,0.0703,-39.1,-47.1589,1965.228
long,take_profit,60608.1,60902.42634011332,2024-08-14 08:10:00,2024-08-14 11:10:00,0.0656,19.3078,11.2578,1976.4858
short,take_profit,59694.0,59398.2869443434,2024-08-17 03:45:00,2024-08-17 04:25:00,0.0666,19.6945,11.7694,1988.2552
short,stop_loss,59915.6,60153.64568099617,2024-08-22 01:55:00,2024-08-22 02:20:00,0.0663,-15.7824,-23.7671,1964.4881
short,take_profit,62093.7,61884.07563447707,2024-08-28 03:20:00,2024-08-28 03:55:00,0.064,13.416,5.4832,1969.9713
short,take_profit,61064.1,60832.83141297276,2024-08-29 23:40:00,2024-08-29 23:50:00,0.0651,15.0556,7.1318,1977.1031
long,take_profit,57397.4,57810.719021368306,2024-09-02 07:20:00,2024-09-02 13:40:00,0.0692,28.6017,20.4749,1997.578
short,take_profit,58655.9,58445.61206761684,2024-09-02 23:45:00,2024-09-03 00:25:00,0.06770000000000001,14.2365,6.3097,2003.8877
short,take_profit,58397.9,58063.65113921436,2024-09-05 01:00:00,2024-09-05 01:25:00,0.068,22.7289,14.824,2018.7117
short,take_profit,58387.9,58191.25828933597,2024-09-13 02:30:00,2024-09-13 02:50:00,0.068,13.3716,5.451,2024.1627
long,take_profit,62652.7,62812.26169499263,2024-09-22 19:20:00,2024-09-22 19:35:00,0.0634,10.1162,2.1467,2026.3094
short,take_profit,63785.2,63663.2999759536,2024-09-26 15:30:00,2024-09-26 17:05:00,0.0623,7.5944,-0.3695,2025.9399
short,take_profit,65582.2,65233.449896205275,2024-09-27 01:15:00,2024-09-27 01:35:00,0.0606,21.1343,13.2213,2039.1612
short,take_profit,64034.3,63898.91867823787,2024-10-01 15:50:00,2024-10-01 16:35:00,0.062,8.3936,0.4553,2039.6165
long,stop_loss,62594.5,62319.32537148767,2024-10-01 23:00:00,2024-10-01 23:00:00,0.0635,-17.4736,-25.3881,2014.2283
short,take_profit,62200.0,62096.71431798351,2024-10-05 14:50:00,2024-10-05 15:45:00,0.0639,6.6,-1.3542,2012.8741
short,take_profit,62688.3,62509.45565798932,2024-10-08 12:40:00,2024-10-08 13:20:00,0.0634,11.3387,3.3993,2016.2734
long,stop_loss,61757.8,61594.47356529462,2024-10-10 02:00:00,2024-10-10 02:10:00,0.06430000000000001,-10.5019,-18.4262,1997.8472
long,stop_loss,65765.5,65649.33407740721,2024-10-15 10:55:00,2024-10-15 11:20:00,0.0604,-7.0164,-14.9551,1982.892
short,stop_loss,67725.5,68027.209168288,2024-10-16 19:20:00,2024-10-16 19:25:00,0.0587,-17.7103,-25.6984,1957.1936
long,stop_loss,68173.9,68120.72055544473,2024-10-20 10:35:00,2024-10-20 10:45:00,0.058300000000000005,-3.1004,-11.0465,1946.1471
long,take_profit,68162.5,68249.10562670844,2024-10-20 10:50:00,2024-10-20 12:25:00,0.058300000000000005,5.0491,-2.9402,1943.2069
long,take_profit,67060.5,67464.2726398355,2024-10-21 23:15:00,2024-10-22 01:05:00,0.0592,23.9033,15.8792,1959.0861
long,take_profit,66872.1,67013.66036288992,2024-10-22 17:30:00,2024-10-22 18:20:00,0.0594,8.4087,0.4309,1959.517
short,take_profit,69528.5,69325.85640712566,2024-11-01 14:10:00,2024-11-01 14:25:00,0.057100000000000005,11.5709,3.649,1963.166
long,take_profit,89856.0,90556.17055466733,2024-11-18 22:05:00,2024-11-18 22:30:00,0.0442,30.9475,22.9341,1986.1001
long,take_profit,98509.9,98846.03509017444,2024-11-22 18:55:00,2024-11-22 19:30:00,0.0403,13.5462,5.5677,1991.6677
long,stop_loss,91724.2,91282.08588978952,2024-11-27 04:00:00,2024-11-27 04:20:00,0.043300000000000005,-19.1435,-27.0552,1964.6125
long,take_profit,97058.8,97428.7716420333,2024-11-30 03:20:00,2024-11-30 03:45:00,0.0409,15.1318,7.1539,1971.7664
short,take_profit,95923.2,95564.37063212409,2024-12-04 06:30:00,2024-12-04 09:10:00,0.0414,14.8555,6.8899,1978.6563
long,take_profit,99300.3,99612.48765380234,2024-12-07 12:35:00,2024-12-07 12:45:00,0.04,12.4875,4.5152,1983.1715
short,take_profit,105271.2,104965.62303035581,2024-12-16 15:25:00,2024-12-16 15:55:00,0.037700000000000004,11.5203,3.5959,1986.7674
short,stop_loss,106725.8,107515.1723325257,2024-12-17 00:45:00,2024-12-17 02:20:00,0.037200000000000004,-29.3647,-37.3952,1949.3722
long,take_profit,106339.0,106760.24261585144,2024-12-18 04:20:00,2024-12-18 04:30:00,0.0373,15.7123,7.7447,1957.1169
long,stop_loss,104807.8,104336.18286065206,2024-12-18 11:55:00,2024-12-18 12:10:00,0.0379,-17.8743,-25.7879,1931.329
short,take_profit,97333.4,97111.63258517008,2024-12-22 09:30:00,2024-12-22 09:35:00,0.0408,9.0481,1.1221,1932.4511
short,stop_loss,96153.6,96456.63169921548,2024-12-23 18:25:00,2024-12-23 19:00:00,0.0413,-12.5152,-20.4941,1911.957
long,stop_loss,93446.2,92580.82251184486,2024-12-24 00:30:00,2024-12-24 04:05:00,0.0425,-36.7785,-44.7191,1867.238
short,stop_loss,98122.4,98708.81838987289,2024-12-25 00:05:00,2024-12-25 01:05:00,0.0405,-23.7499,-31.7652,1835.4727
short,take_profit,99254.7,98954.32026905578,2024-12-26 04:35:00,2024-12-26 04:45:00,0.04,12.0152,4.0955,1839.5683
long,stop_loss,101679.9,101528.0389857296,2025-01-07 11:20:00,2025-01-07 11:50:00,0.0391,-5.9378,-13.8872,1825.6811
short,stop_loss,94612.4,94861.21485113507,2025-01-12 21:35:00,2025-01-12 22:05:00,0.042,-10.4502,-18.4285,1807.2526
short,stop_loss,94681.5,94819.8023095334,2025-01-12 22:00:00,2025-01-12 22:05:00,0.0419,-5.7949,-13.7424,1793.5102
short,take_profit,94679.9,94330.39846377683,2025-01-14 06:20:00,2025-01-14 06:30:00,0.0419,14.6441,6.7359,1800.2461
long,take_profit,105396.5,106214.96538017895,2025-01-24 22:40:00,2025-01-24 22:40:00,0.037700000000000004,30.8561,22.8475,1823.0936
long,stop_loss,101964.0,101293.61727363704,2025-01-27 09:05:00,2025-01-27 09:10:00,0.038900000000000004,-26.0779,-33.9602,1789.1334
long,take_profit,104059.8,104266.51515928128,2025-01-31 17:05:00,2025-01-31 17:30:00,0.038200000000000005,7.8965,-0.0777,1789.0557
short,take_profit,104811.9,104559.32429076865,2025-01-31 21:20:00,2025-01-31 21:45:00,0.0379,9.5726,1.6387,1790.6945
