entry_type,exit_reason,entry_price,exit_price,entry_time,exit_time,qty,pnl,net,balance
short,take_profit,96661.0,95705.04835912699,2024-11-28 04:45:00,2024-11-28 10:45:00,0.2067,197.5952,181.6509,2195.0549
short,take_profit,97675.4,97247.30883250681,2024-12-11 14:30:00,2024-12-11 15:45:00,0.2046,87.5875,71.6175,2266.6723
long,take_profit,92936.1,93905.4378516737,2024-12-24 04:30:00,2024-12-24 05:00:00,0.215,208.4076,192.3809,2459.0533
long,take_profit,93718.4,94412.53579590954,2025-01-01 07:15:00,2025-01-01 08:45:00,0.2132,147.9898,131.9755,2591.0288
long,take_profit,96247.9,96803.6586801462,2025-01-08 04:45:00,2025-01-08 05:00:00,0.2076,115.3755,99.3676,2690.3964
short,stop_loss,94247.9,94610.78112627045,2025-01-10 15:15:00,2025-01-10 15:30:00,0.212,-76.9308,-92.9306,2597.4658
short,take_profit,94940.1,94355.59194631373,2025-01-10 19:15:00,2025-01-10 21:30:00,0.2105,123.0389,107.0756,2704.5414
long,stop_loss,100362.4,99227.1304630101,2025-01-27 14:00:00,2025-01-27 14:30:00,0.1991,-226.0322,-241.9727,2462.5687
short,take_profit,102914.3,102277.54873750848,2025-01-28 13:00:00,2025-01-28 22:00:00,0.1942,123.6571,107.6931,2570.2618
long,stop_loss,98011.4,96422.02139811768,2025-02-03 07:00:00,2025-02-03 08:15:00,0.2039,-324.0743,-339.9971,2230.2647
long,take_profit,96283.1,97265.92214819131,2025-02-07 04:15:00,2025-02-07 09:45:00,0.2075,203.9356,187.9118,2418.1765
long,take_profit,96132.2,96610.49737010282,2025-02-08 20:00:00,2025-02-09 03:15:00,0.2079,99.438,83.4294,2501.6059
long,take_profit,91650.1,92628.54098218022,2025-03-03 17:15:00,2025-03-03 19:00:00,0.218,213.3001,197.2737,2698.8796
long,take_profit,78015.2,79354.27261643516,2025-03-11 03:15:00,2025-03-11 03:30:00,0.2562,343.0704,327.0118,3025.8914
short,take_profit,81720.1,81069.34700347658,2025-03-11 20:00:00,2025-03-11 20:45:00,0.2445,159.1091,143.1565,3169.0479
long,take_profit,83839.6,84121.15288806526,2025-03-15 18:45:00,2025-03-15 19:30:00,0.2384,67.1222,51.1189,3220.1668
short,stop_loss,87329.8,87748.53376793567,2025-03-24 17:15:00,2025-03-24 18:30:00,0.2288,-95.8063,-111.8103,3108.3565
long,stop_loss,84636.7,84115.5837249431,2025-04-13 20:15:00,2025-04-13 21:15:00,0.2361,-123.0356,-138.9971,2969.3594
long,take_profit,94109.0,94573.30467532571,2025-04-26 22:00:00,2025-04-27 06:15:00,0.2123,98.5719,82.5687,3051.9281
short,stop_loss,110425.2,111147.64552381088,2025-05-22 11:00:00,2025-05-22 11:30:00,0.181,-130.7626,-146.7784,2905.1497
long,stop_loss,108775.8,108112.88757203512,2025-05-28 10:45:00,2025-05-28 21:45:00,0.1837,-121.777,-137.7383,2767.4114
long,take_profit,103691.7,104559.71443302248,2025-05-31 10:15:00,2025-05-31 23:00:00,0.1927,167.2664,151.2478,2918.6592
short,stop_loss,103641.5,103950.61814908427,2025-06-06 18:30:00,2025-06-06 20:00:00,0.1928,-59.598,-75.5956,2843.0636
long,take_profit,109200.5,109517.07485615955,2025-06-10 16:15:00,2025-06-10 18:15:00,0.183,57.9332,41.9347,2884.9983
short,take_profit,109942.4,109325.14640073982,2025-06-11 08:15:00,2025-06-11 14:45:00,0.1818,112.2167,96.2491,2981.2474
long,take_profit,104873.7,105413.47791162817,2025-06-15 04:45:00,2025-06-15 05:45:00,0.1905,102.8277,86.8244,3068.0718
long,stop_loss,105639.6,104607.5214036859,2025-06-17 22:15:00,2025-06-17 23:00:00,0.1892,-195.2693,-211.2198,2856.852
