Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-05 14:00:00,1023.75,1064.0,1001.0,1052.82,200637.9994,2021-01-05 15:59:59.999,207363575.21803250,170649,99301.92139000,102658452.44499590,0
2021-01-05 16:00:00,1052.83,1084.55,1036.29,1081.73,184856.30827,2021-01-05 17:59:59.999,197013786.02793520,134773,91283.67000000,97319942.74393400,0
2021-01-05 18:00:00,1081.99,1108.0,1040.0,1096.33,273679.37409,2021-01-05 19:59:59.999,295824396.38026340,195444,131880.12435000,142738710.55869030,0
2021-01-05 20:00:00,1096.36,1103.84,1074.44,1082.1,138182.94629,2021-01-05 21:59:59.999,150728594.80580480,106656,65069.78957000,71017041.20011350,0
2021-01-05 22:00:00,1082.09,1120.0,1081.11,1099.56,180790.05147,2021-01-05 23:59:59.999,199054400.91730420,123193,93502.58773000,102977418.67539420,0
2021-01-06 00:00:00,1100.16,1110.3,1057.26,1071.82,164821.381,2021-01-06 01:59:59.999,177703828.20434350,114130,79638.43385000,85893064.35971870,0
2021-01-06 02:00:00,1071.81,1087.0,1061.0,1075.49,107469.81158,2021-01-06 03:59:59.999,115509110.42416970,96557,54889.45117000,58997234.46218270,0
2021-01-06 04:00:00,1075.49,1135.02,1073.03,1101.81,251563.72991,2021-01-06 05:59:59.999,279248031.91641780,187193,132915.49875000,147598838.81529470,0
2021-01-06 06:00:00,1101.8,1122.02,1090.72,1106.59,146158.55212,2021-01-06 07:59:59.999,162208867.11188890,100878,74480.44738000,82697049.60372890,0
2021-01-06 08:00:00,1106.61,1123.51,1091.0,1099.02,188511.07005,2021-01-06 09:59:59.999,208328164.26730490,108210,95850.83902000,105956913.32232650,0
2021-01-06 10:00:00,1099.02,1166.58,1097.29,1151.88,238491.78501,2021-01-06 11:59:59.999,270859318.79688590,156709,131990.76796000,150004520.59749460,0
2021-01-06 12:00:00,1151.88,1158.96,1121.0,1134.99,194270.74062,2021-01-06 13:59:59.999,220874183.84798990,119993,94454.00509000,107403635.36097310,0
2021-01-06 14:00:00,1134.99,1153.94,1124.61,1143.89,161942.61033,2021-01-06 15:59:59.999,184574561.74209470,100707,79677.43531000,90837500.61824410,0
2021-01-06 16:00:00,1144.01,1207.7,1144.01,1192.25,320942.60049,2021-01-06 17:59:59.999,379201557.78405130,209262,175590.24405000,207550358.30785960,0
2021-01-06 18:00:00,1192.27,1208.57,1150.0,1160.78,193617.61405,2021-01-06 19:59:59.999,230573586.08829030,122911,90779.98342000,108250934.12227820,0
2021-01-06 20:00:00,1160.78,1207.0,1116.61,1181.26,324391.86169,2021-01-06 21:59:59.999,379370493.57165440,197356,164960.75105000,193136903.36047310,0
2021-01-06 22:00:00,1181.23,1213.0,1173.12,1208.42,97954.83649,2021-01-06 23:59:59.999,116810417.53342180,86982,52728.03145000,62912527.60000510,0
2021-01-07 00:00:00,1208.75,1221.0,1188.0,1200.12,149100.88479,2021-01-07 01:59:59.999,179635177.48617220,110277,73829.20383000,88982056.23483570,0
2021-01-07 02:00:00,1200.21,1224.11,1179.91,1213.17,127666.11902,2021-01-07 03:59:59.999,153627304.43089050,96109,66019.96999000,79498780.68128550,0
2021-01-07 04:00:00,1213.17,1218.04,1200.71,1207.27,109338.65702,2021-01-07 05:59:59.999,132216251.88715690,75306,55109.18106000,66649763.55005510,0
2021-01-07 06:00:00,1207.3,1210.93,1181.09,1186.21,114249.4121,2021-01-07 07:59:59.999,136667030.56921470,86857,53405.55006000,63881873.38634400,0
2021-01-07 08:00:00,1186.39,1205.0,1159.03,1204.96,137250.66023,2021-01-07 09:59:59.999,162681816.62861980,105120,67382.41242000,79941934.89379740,0
2021-01-07 10:00:00,1204.96,1205.7,1179.79,1201.12,101990.54009,2021-01-07 11:59:59.999,121598791.88945150,79760,51021.18885000,60851208.58841130,0
2021-01-07 12:00:00,1201.32,1230.45,1197.64,1218.01,177860.01036,2021-01-07 13:59:59.999,216375832.35246680,130539,90381.91448000,109996305.66671770,0
2021-01-07 14:00:00,1218.01,1249.98,1215.0,1249.83,142991.11442,2021-01-07 15:59:59.999,175854348.74763660,104299,76136.10225000,93695563.32230860,0
2021-01-07 16:00:00,1249.84,1277.41,1238.68,1270.49,214657.65841,2021-01-07 17:59:59.999,271298338.72380490,136611,111789.18793000,141305172.68495220,0
2021-01-07 18:00:00,1270.48,1289.0,1131.0,1234.14,432564.40215,2021-01-07 19:59:59.999,528440092.55781500,279929,196629.48150000,240514372.49968700,0
2021-01-07 20:00:00,1234.23,1267.33,1223.41,1254.18,137081.55915,2021-01-07 21:59:59.999,170627682.06537640,98561,71042.63657000,88416872.21086970,0
2021-01-07 22:00:00,1254.25,1259.0,1201.45,1224.87,128171.80285,2021-01-07 23:59:59.999,157197224.02992900,99331,61980.14622000,76012122.43212020,0
2021-01-08 00:00:00,1224.86,1233.0,1160.0,1184.52,168644.50879,2021-01-08 01:59:59.999,201403770.14061300,156460,78679.93361000,93977061.76910420,0
2021-01-08 02:00:00,1184.52,1186.29,1065.0,1150.1,288491.67544,2021-01-08 03:59:59.999,323807117.64605090,222453,127920.32254000,143762229.26969290,0
2021-01-08 04:00:00,1150.1,1177.65,1142.0,1148.12,146820.09716,2021-01-08 05:59:59.999,170518346.21515160,121734,72380.02661000,84091123.63587250,0
2021-01-08 06:00:00,1148.29,1214.27,1125.41,1208.42,170540.0871,2021-01-08 07:59:59.999,200032924.94816590,128952,87841.09554000,103041032.70690800,0
2021-01-08 08:00:00,1208.2,1222.32,1181.73,1221.64,118440.33443,2021-01-08 09:59:59.999,141987618.32982660,93578,61831.50147000,74194561.31163360,0
2021-01-08 10:00:00,1221.51,1270.24,1216.23,1255.43,222387.8256,2021-01-08 11:59:59.999,277343846.85551060,162963,119107.95488000,148584070.23916080,0
2021-01-08 12:00:00,1255.24,1273.75,1221.62,1250.0,169775.92463,2021-01-08 13:59:59.999,211909696.85685300,132958,81118.56458000,101316950.32793070,0
2021-01-08 14:00:00,1250.0,1264.0,1171.72,1216.77,242817.13788,2021-01-08 15:59:59.999,296972384.61538770,159807,115234.36364000,141109599.27836640,0
2021-01-08 16:00:00,1216.93,1242.18,1202.0,1215.42,134443.59453,2021-01-08 17:59:59.999,164686120.73492150,111139,66603.46864000,81621455.30395980,0
2021-01-08 18:00:00,1215.59,1222.06,1173.0,1184.75,153173.02972,2021-01-08 19:59:59.999,182685725.85360440,140927,72705.06573000,86714408.16360580,0
2021-01-08 20:00:00,1184.75,1195.5,1135.51,1193.63,220946.61305,2021-01-08 21:59:59.999,257808118.30964440,168694,108275.79888000,126416423.11177140,0
2021-01-08 22:00:00,1193.63,1229.69,1166.31,1216.93,94692.09508,2021-01-08 23:59:59.999,114271782.07439590,119152,51191.00897000,61790382.30183330,0
2021-01-09 00:00:00,1216.72,1234.67,1171.36,1198.27,144423.40163,2021-01-09 01:59:59.999,173253429.06345660,121633,70471.62480000,84577017.79074010,0
2021-01-09 02:00:00,1198.26,1231.31,1177.38,1226.53,111587.40154,2021-01-09 03:59:59.999,134740988.41616290,96280,57297.59772000,69240648.52831280,0
2021-01-09 04:00:00,1226.53,1227.49,1181.06,1185.53,93121.13387,2021-01-09 05:59:59.999,112380021.62517740,86680,44551.62652000,53777281.90176780,0
2021-01-09 06:00:00,1185.4,1199.99,1173.65,1196.49,101984.39244,2021-01-09 07:59:59.999,121092551.74714210,95374,50619.25592000,60117619.89155150,0
2021-01-09 08:00:00,1196.5,1221.7,1184.64,1211.55,98382.23734,2021-01-09 09:59:59.999,118777290.30870570,72103,49272.16152000,59495955.36519160,0
2021-01-09 10:00:00,1211.93,1237.0,1204.26,1220.64,118164.55031,2021-01-09 11:59:59.999,144376912.49453760,83757,59749.89289000,73035727.99884320,0
2021-01-09 12:00:00,1220.65,1229.52,1211.0,1221.39,75891.10916,2021-01-09 13:59:59.999,92759522.56509390,62122,36120.98022000,44157980.52649560,0
2021-01-09 14:00:00,1221.39,1235.5,1207.29,1219.95,106300.66,2021-01-09 15:59:59.999,130046415.11290600,74089,52915.82639000,64765435.24971380,0
2021-01-09 16:00:00,1219.96,1225.52,1194.08,1222.52,120784.04689,2021-01-09 17:59:59.999,146356905.81081650,83449,61762.91696000,74906679.71653760,0
2021-01-09 18:00:00,1222.51,1235.69,1218.56,1229.42,73084.1519,2021-01-09 19:59:59.999,89723744.05605330,54718,39903.22358000,48999244.34176640,0
2021-01-09 20:00:00,1229.33,1294.18,1217.54,1287.96,256228.3584,2021-01-09 21:59:59.999,325002151.34398560,189080,145533.44525000,184568570.59098900,0
2021-01-09 22:00:00,1287.95,1304.37,1266.85,1276.0,148919.67166,2021-01-09 23:59:59.999,191627443.87243190,112586,78171.14503000,100690968.86642070,0
2021-01-10 00:00:00,1276.0,1335.0,1273.82,1323.44,171285.89221,2021-01-10 01:59:59.999,223610805.26662780,124561,88397.38530000,115517962.77144120,0
2021-01-10 02:00:00,1323.5,1340.98,1304.51,1310.97,147039.35921,2021-01-10 03:59:59.999,194477297.53256350,95250,81500.12166000,107816903.12588960,0
2021-01-10 04:00:00,1310.91,1328.84,1305.74,1315.54,87078.81256,2021-01-10 05:59:59.999,114895862.13800410,68555,41351.82617000,54578132.07923210,0
2021-01-10 06:00:00,1315.54,1345.69,1313.48,1344.7,97954.05838,2021-01-10 07:59:59.999,130144594.02089480,81645,52585.46789000,69892517.65470420,0
2021-01-10 08:00:00,1344.77,1348.33,1318.21,1331.63,103442.71572,2021-01-10 09:59:59.999,138089638.36111960,80133,54256.18048000,72442253.85188600,0
2021-01-10 10:00:00,1331.65,1339.22,1257.6,1259.28,236612.51536,2021-01-10 11:59:59.999,307363294.02546800,170079,110257.27952000,143288433.24138000,0
2021-01-10 12:00:00,1259.28,1323.71,1237.0,1309.66,190555.99915,2021-01-10 13:59:59.999,245627780.79445810,140589,101639.12461000,131240407.52609030,0
