Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-12-31 16:00:00,736.0,743.0,724.48,738.83,120344.55228,2020-12-31 19:59:59.999,88512906.40368720,81460,62987.64238000,46329255.75366820,0
2020-12-31 20:00:00,738.76,745.0,731.83,736.42,64016.27221,2020-12-31 23:59:59.999,47337589.50914250,70903,33613.96272000,24860568.32744340,0
2021-01-01 00:00:00,736.42,749.0,729.33,744.82,130893.19622,2021-01-01 03:59:59.999,97105337.16783030,96179,69637.53549000,51665342.56867650,0
2021-01-01 04:00:00,744.87,747.09,734.4,737.38,72474.10311,2021-01-01 07:59:59.999,53652717.53731860,56675,36077.80902000,26716495.21419210,0
2021-01-01 08:00:00,737.37,741.76,725.1,738.85,128108.21447,2021-01-01 11:59:59.999,94014242.53803690,97917,62143.49657000,45617214.70264840,0
2021-01-01 12:00:00,738.85,743.33,732.12,735.39,121504.02184,2021-01-01 15:59:59.999,89663737.57922280,84247,65878.41968000,48628581.19514580,0
2021-01-01 16:00:00,735.39,737.73,714.29,725.34,156457.71927,2021-01-01 19:59:59.999,113798232.01604600,100467,71977.06431000,52374719.38145570,0
2021-01-01 20:00:00,725.34,731.97,722.5,728.91,65676.83838,2021-01-01 23:59:59.999,47837776.93895280,48186,33274.20651000,24238020.87656540,0
2021-01-02 00:00:00,728.91,734.4,714.91,730.39,119184.4496,2021-01-02 03:59:59.999,86463766.66700020,75165,61460.03639000,44600367.90419790,0
2021-01-02 04:00:00,730.39,740.49,726.26,735.12,97938.27713,2021-01-02 07:59:59.999,71868616.45014910,57883,50874.40167000,37344306.61455340,0
2021-01-02 08:00:00,735.12,738.35,723.01,729.7,120264.73109,2021-01-02 11:59:59.999,87831972.88494600,84102,59643.87111000,43552882.68412550,0
2021-01-02 12:00:00,729.7,772.8,728.25,768.43,428448.45842,2021-01-02 15:59:59.999,324368938.89134600,249050,226835.84775000,171655095.98380710,0
2021-01-02 16:00:00,768.45,787.69,764.5,784.79,334396.9924,2021-01-02 19:59:59.999,259913296.09737900,183503,169993.15062000,132129725.59030830,0
2021-01-02 20:00:00,784.79,785.48,750.12,774.56,252385.66804,2021-01-02 23:59:59.999,194025591.62126670,174431,117867.42588000,90633448.23449330,0
2021-01-03 00:00:00,774.44,781.59,770.59,772.37,114309.37983,2021-01-03 03:59:59.999,88725026.66994570,83454,55262.34666000,42897754.89158370,0
2021-01-03 04:00:00,772.44,805.74,768.71,799.78,285411.98757,2021-01-03 07:59:59.999,226063792.54254550,167082,150645.31535000,119374101.66860660,0
2021-01-03 08:00:00,799.74,832.3,791.5,829.76,334288.39418,2021-01-03 11:59:59.999,273481403.14856500,221265,174192.18576000,142535354.63441050,0
2021-01-03 12:00:00,829.77,921.73,826.38,917.72,698095.22416,2021-01-03 15:59:59.999,618527281.18916300,376059,361475.83881000,320098541.31212410,0
2021-01-03 16:00:00,917.95,978.0,888.93,921.53,805040.39911,2021-01-03 19:59:59.999,754876661.07581470,439147,387856.53783000,363785699.51019920,0
2021-01-03 20:00:00,921.61,1011.07,920.08,978.28,576458.5013,2021-01-03 23:59:59.999,560737695.10557580,349494,309595.57445000,301574823.57622470,0
2021-01-04 00:00:00,978.33,1025.81,954.22,1021.41,432623.86115,2021-01-04 03:59:59.999,424203777.45980960,303419,227642.75241000,223371568.98661410,0
2021-01-04 04:00:00,1021.41,1162.97,1012.0,1044.31,996550.05419,2021-01-04 07:59:59.999,1072902193.92020020,573837,512470.74069000,551739648.01746650,0
2021-01-04 08:00:00,1044.3,1078.93,890.0,976.8,1176111.38746,2021-01-04 11:59:59.999,1144304917.76406010,598643,574682.00760000,559810922.68101600,0
2021-01-04 12:00:00,976.97,1058.16,956.12,1040.01,815345.81432,2021-01-04 15:59:59.999,825886889.29644810,426507,393080.07793000,397939032.29934580,0
2021-01-04 16:00:00,1040.0,1048.0,982.05,1042.28,540996.24594,2021-01-04 19:59:59.999,546825774.07554310,340395,272481.14597000,275570578.01643510,0
2021-01-04 20:00:00,1042.16,1049.7,992.7,1041.43,283383.57698,2021-01-04 23:59:59.999,289510650.70353760,235061,145980.94750000,149207269.32831380,0
2021-01-05 00:00:00,1041.45,1134.6,995.0,1001.76,753792.30594,2021-01-05 03:59:59.999,813585476.27282040,504741,372782.01055000,402792953.87954460,0
2021-01-05 04:00:00,1001.75,1030.81,974.45,1003.45,525071.48466,2021-01-05 07:59:59.999,528194740.65751950,357063,262008.59225000,263658518.57111260,0
2021-01-05 08:00:00,1003.52,1050.93,1003.51,1042.21,324534.17389,2021-01-05 11:59:59.999,335122307.67751700,236773,160960.81760000,166217297.76686460,0
2021-01-05 12:00:00,1042.23,1064.0,1001.0,1052.82,326089.03064,2021-01-05 15:59:59.999,337526577.26897780,301860,160153.43589000,165829569.45790430,0
2021-01-05 16:00:00,1052.83,1108.0,1036.29,1096.33,458535.68236,2021-01-05 19:59:59.999,492838182.40819860,330217,223163.79435000,240058653.30262430,0
2021-01-05 20:00:00,1096.36,1120.0,1074.44,1099.56,318972.99776,2021-01-05 23:59:59.999,349782995.72310900,229849,158572.37730000,173994459.87550770,0
2021-01-06 00:00:00,1100.16,1110.3,1057.26,1075.49,272291.19258,2021-01-06 03:59:59.999,293212938.62851320,210687,134527.88502000,144890298.82190140,0
2021-01-06 04:00:00,1075.49,1135.02,1073.03,1106.59,397722.28203,2021-01-06 07:59:59.999,441456899.02830670,288071,207395.94613000,230295888.41902360,0
2021-01-06 08:00:00,1106.61,1166.58,1091.0,1151.88,427002.85506,2021-01-06 11:59:59.999,479187483.06419080,264919,227841.60698000,255961433.91982110,0
2021-01-06 12:00:00,1151.88,1158.96,1121.0,1143.89,356213.35095,2021-01-06 15:59:59.999,405448745.59008460,220700,174131.44040000,198241135.97921720,0
2021-01-06 16:00:00,1144.01,1208.57,1144.01,1160.78,514560.21454,2021-01-06 19:59:59.999,609775143.87234160,332173,266370.22747000,315801292.43013780,0
2021-01-06 20:00:00,1160.78,1213.0,1116.61,1208.42,422346.69818,2021-01-06 23:59:59.999,496180911.10507620,284338,217688.78250000,256049430.96047820,0
2021-01-07 00:00:00,1208.75,1224.11,1179.91,1213.17,276767.00381,2021-01-07 03:59:59.999,333262481.91706270,206386,139849.17382000,168480836.91612120,0
2021-01-07 04:00:00,1213.17,1218.04,1181.09,1186.21,223588.06912,2021-01-07 07:59:59.999,268883282.45637160,162163,108514.73112000,130531636.93639910,0
2021-01-07 08:00:00,1186.39,1205.7,1159.03,1201.12,239241.20032,2021-01-07 11:59:59.999,284280608.51807130,184880,118403.60127000,140793143.48220870,0
2021-01-07 12:00:00,1201.32,1249.98,1197.64,1249.83,320851.12478,2021-01-07 15:59:59.999,392230181.10010340,234838,166518.01673000,203691868.98902630,0
2021-01-07 16:00:00,1249.84,1289.0,1131.0,1234.14,647222.06056,2021-01-07 19:59:59.999,799738431.28161990,416540,308418.66943000,381819545.18463920,0
2021-01-07 20:00:00,1234.23,1267.33,1201.45,1224.87,265253.362,2021-01-07 23:59:59.999,327824906.09530540,197892,133022.78279000,164428994.64298990,0
2021-01-08 00:00:00,1224.86,1233.0,1065.0,1150.1,457136.18423,2021-01-08 03:59:59.999,525210887.78666390,378913,206600.25615000,237739291.03879710,0
