entry_time,exit_time,direction,entry_price,exit_price,quantity,contract_value,fee_entry,fee_exit,total_fee,return,reason,balance_after
2024-07-01 00:45:00,2024-07-01 00:50:00,short,61629.5,61651.1,0.012100000000000001,745.7169500000001,0.44743017,0.447586986,0.895017156,-0.7092577013958158,stop_loss,1499.290742298604
2024-07-01 01:00:00,2024-07-01 01:05:00,short,61601.2,61629.57000000001,0.012100000000000001,745.3745200000001,0.447224712,0.44743067820000004,0.8946553902000001,-0.7910182509167866,stop_loss,1498.4997240476873
2024-07-01 01:35:00,2024-07-01 01:55:00,long,61815.0,61687.95,0.012100000000000001,747.9615000000001,0.44877690000000003,0.447854517,0.896631417,-1.9864061195000355,stop_loss,1496.5133179281872
2024-07-01 02:30:00,2024-07-01 02:40:00,long,61762.5,61813.035,0.012100000000000001,747.3262500000001,0.44839575,0.44876263410000006,0.8971583841,0.16208809402504223,take_profit,1496.6754060222122
2024-07-01 02:45:00,2024-07-01 02:50:00,long,61836.2,61960.804999999986,0.012,742.0344,0.44522063999999995,0.44611779599999984,0.8913384359999998,1.0488330229998641,take_profit,1497.724239045212
2024-07-01 03:55:00,2024-07-01 04:00:00,long,62071.0,62001.94,0.012,744.852,0.44691119999999995,0.44641396799999994,0.8933251679999998,-1.2754443229999721,stop_loss,1496.4487947222121
2024-07-01 04:10:00,2024-07-01 04:25:00,long,62071.2,62135.7,0.012,744.8543999999999,0.4469126399999999,0.44737703999999995,0.8942896799999999,0.3256918920000001,take_profit,1496.774486614212
2024-07-01 05:30:00,2024-07-01 05:50:00,short,61935.1,61861.645000000004,0.012,743.2212,0.44593271999999995,0.44540384400000005,0.8913365639999999,0.4348174539999336,take_profit,1497.209304068212
2024-07-01 07:40:00,2024-07-01 07:45:00,long,62939.4,62908.159999999996,0.0118,742.68492,0.445610952,0.4453897728,0.8910007248,-0.8143312248500618,stop_loss,1496.394972843362
2024-07-01 08:15:00,2024-07-01 08:45:00,short,62628.5,62802.4,0.0119,745.2791500000001,0.44716749,0.448409136,0.895576626,-2.5196823338750174,stop_loss,1493.875290509487
2024-07-01 09:05:00,2024-07-01 09:10:00,long,62989.6,63272.39499999999,0.0118,743.27728,0.44596636799999995,0.44796855659999985,0.8939349245999998,2.888702744533227,take_profit,1496.7639932540203
2024-07-01 11:45:00,2024-07-01 11:50:00,short,63379.2,63449.090000000004,0.0118,747.87456,0.44872473599999996,0.44921955719999995,0.8979442931999999,-1.274233171600079,stop_loss,1495.4897600824202
2024-07-01 12:25:00,2024-07-01 12:35:00,short,63367.7,63298.369999999995,0.0117,741.4020899999999,0.4448412539999999,0.44435455739999996,0.8891958113999998,0.36618860752502047,take_profit,1495.855948689945
2024-07-01 12:40:00,2024-07-01 13:25:00,short,63257.9,63379.3,0.0118,746.44322,0.44786593199999997,0.448725444,0.8965913759999999,-1.8840446060750171,stop_loss,1493.97190408387
2024-07-01 13:40:00,2024-07-01 14:20:00,long,63424.9,63351.490000000005,0.0117,742.07133,0.44524279799999994,0.4447274598,0.8899702577999999,-1.3060980308999557,stop_loss,1492.66580605297
2024-07-01 14:50:00,2024-07-01 14:55:00,short,63350.9,63376.11,0.0117,741.2055300000001,0.444723318,0.4449002922,0.8896236101999999,-0.7401661278374897,stop_loss,1491.9256399251326
2024-07-01 15:30:00,2024-07-01 16:25:00,short,63308.7,63222.83999999999,0.0117,740.71179,0.4444270739999999,0.4438243367999999,0.8882514107999998,0.557342734162592,take_profit,1492.4829826592952
2024-07-01 16:35:00,2024-07-01 16:45:00,short,63088.9,62876.185,0.0118,744.44902,0.446669412,0.4451633898,0.8918328017999999,2.0642532360167114,take_profit,1494.5472358953118
2024-07-01 17:15:00,2024-07-01 17:50:00,short,62886.2,62958.43999999999,0.0118,742.05716,0.4452342959999999,0.44574575519999987,0.8909800511999998,-1.3003420885832233,stop_loss,1493.2468938067286
2024-07-01 18:40:00,2024-07-01 18:45:00,short,62873.0,62812.67000000001,0.0118,741.9014,0.4451408399999999,0.44471370360000007,0.8898545436,0.2668711708165155,take_profit,1493.5137649775452
2024-07-01 18:50:00,2024-07-01 19:00:00,short,62826.7,62894.55,0.0118,741.35506,0.44481303599999994,0.445293414,0.89010645,-1.2465412098834021,stop_loss,1492.2672237676618
2024-07-01 19:05:00,2024-07-01 19:20:00,short,62802.1,62864.06,0.0118,741.0647799999999,0.4446388679999999,0.44507754479999995,0.8897164127999999,-1.1771318757749896,stop_loss,1491.090091891887
2024-07-01 19:25:00,2024-07-01 19:55:00,short,62742.2,62617.369999999995,0.0118,740.3579599999999,0.4442147759999999,0.44333097959999995,0.8875457555999999,1.0278121255000205,take_profit,1492.117904017387
2024-07-01 20:45:00,2024-07-01 21:05:00,long,62866.1,63013.744999999995,0.0118,741.81998,0.44509198799999994,0.44613731459999995,0.8912293025999999,1.294837318766629,take_profit,1493.4127413361537
2024-07-01 21:50:00,2024-07-01 22:10:00,short,62677.9,62818.11,0.0119,745.86701,0.447520206,0.4485213054,0.8960415114,-2.118263417083323,stop_loss,1491.2944779190702
2024-07-01 23:10:00,2024-07-01 23:25:00,long,62942.9,62845.11,0.0118,742.72622,0.44563573199999995,0.4449433788,0.8905791108,-1.5997937865750105,stop_loss,1489.6946841324952
2024-07-01 23:35:00,2024-07-01 23:40:00,long,62977.7,62900.89,0.0118,743.13686,0.44588211599999994,0.44533830119999995,0.8912204171999999,-1.352005941558306,stop_loss,1488.342678190937
2024-07-01 23:55:00,2024-07-02 00:00:00,long,63029.0,63141.950000000004,0.0117,737.4393,0.44246357999999997,0.44325648900000003,0.885720069,0.877951244625051,take_profit,1489.2206294355622
2024-07-02 00:10:00,2024-07-02 01:35:00,long,63178.7,63453.42499999999,0.0117,739.19079,0.44351447399999994,0.44544304349999986,0.8889575174999997,2.763603521737398,take_profit,1491.9842329572996
2024-07-02 01:55:00,2024-07-02 03:35:00,long,63572.9,63323.63999999999,0.0117,743.8029300000001,0.446281758,0.44453195279999996,0.8908137107999999,-3.367072310550109,stop_loss,1488.6171606467494
2024-07-02 03:40:00,2024-07-02 06:25:00,short,63275.5,62966.44000000001,0.0117,740.32335,0.44419401,0.44202440880000005,0.8862184188,3.1637981451373873,take_profit,1491.7809587918869
2024-07-02 07:30:00,2024-07-02 08:05:00,short,62862.7,62968.91000000001,0.0118,741.77986,0.44506791599999995,0.4458198828,0.8908877987999999,-1.701261407391828,stop_loss,1490.079697384495
2024-07-02 08:15:00,2024-07-02 08:20:00,short,62863.2,62818.259999999995,0.0118,741.78576,0.445071456,0.44475328079999993,0.8898247367999998,0.08522964180002748,take_profit,1490.164927026295
2024-07-02 09:45:00,2024-07-02 09:50:00,short,62863.0,62906.95,0.0118,741.7834,0.44507004,0.445381206,0.890451246,-0.9643002824166322,stop_loss,1489.2006267438783
2024-07-02 10:15:00,2024-07-02 14:15:00,long,63095.0,62938.2,0.0117,738.2115,0.44292689999999996,0.44182616399999997,0.8847530639999999,-2.291150394000034,stop_loss,1486.9094763498783
2024-07-02 14:30:00,2024-07-02 15:05:00,short,62891.9,62754.74,0.0118,742.12442,0.44527465199999994,0.4443035591999999,0.8895782111999999,1.172019911241708,take_profit,1488.08149626112
2024-07-02 15:30:00,2024-07-02 15:35:00,short,62699.3,62595.57500000001,0.0118,739.8517400000001,0.443911044,0.443176671,0.887087715,0.7804700574415635,take_profit,1488.8619663185616
2024-07-02 15:45:00,2024-07-02 16:05:00,short,62621.5,62692.240000000005,0.0118,738.9336999999999,0.4433602199999999,0.4438610592,0.8872212791999999,-1.2798246153667285,stop_loss,1487.5821417031948
2024-07-02 18:05:00,2024-07-02 18:10:00,short,62616.0,62536.78499999998,0.0118,738.8688,0.44332127999999993,0.44276043779999985,0.8860817177999998,0.49166870020021647,take_profit,1488.073810403395
2024-07-02 19:35:00,2024-07-02 20:50:00,long,62820.0,62972.14499999999,0.0118,741.276,0.4447655999999999,0.4458427865999999,0.8906083865999999,1.3448352383998765,take_profit,1489.418645641795
2024-07-02 21:25:00,2024-07-02 21:30:00,long,62933.2,62991.17499999999,0.0118,742.61176,0.44556705599999996,0.4459775189999999,0.8915445749999998,0.2378180594332304,take_profit,1489.6564637012282
2024-07-02 22:10:00,2024-07-02 22:15:00,short,62633.4,62356.39500000002,0.0118,739.07412,0.443444472,0.44148327660000003,0.8849277486,2.8268677758497973,take_profit,1492.483331477078
2024-07-02 22:35:00,2024-07-02 23:35:00,short,62264.4,61867.005000000005,0.0119,740.94636,0.444567816,0.44173041570000005,0.8862982317000001,4.283565352499962,take_profit,1496.766896829578
2024-07-02 23:45:00,2024-07-02 23:50:00,short,62003.1,62042.15,0.012,744.0372,0.44642231999999993,0.44670348,0.8931258,-0.9156134955000349,stop_loss,1495.8512833340778
2024-07-03 00:05:00,2024-07-03 00:10:00,short,61941.6,61840.635,0.012,743.2992,0.44597951999999996,0.44525257199999996,0.8912320919999999,0.7660177199999582,take_profit,1496.6173010540779
2024-07-03 00:20:00,2024-07-03 00:45:00,short,61887.7,61961.06,0.012,742.6524,0.44559143999999995,0.446119632,0.8917110719999999,-1.3279868245000068,stop_loss,1495.289314229578
2024-07-03 01:35:00,2024-07-03 01:45:00,long,62020.3,62085.729999999996,0.012,744.2436,0.44654615999999997,0.4470172559999999,0.8935634159999999,0.33752254099991624,take_profit,1495.626836770578
2024-07-03 01:50:00,2024-07-03 02:10:00,long,62114.0,62268.54500000001,0.012,745.368,0.4472208,0.4483335240000001,0.8955543240000001,1.4049641960001535,take_profit,1497.0318009665782
2024-07-03 02:15:00,2024-07-03 03:20:00,long,62289.5,62134.45,0.012,747.474,0.4484844,0.4473680399999999,0.8958524399999999,-2.312016857500035,stop_loss,1494.719784109078
2024-07-03 03:30:00,2024-07-03 08:20:00,short,62013.5,62227.590000000004,0.012,744.162,0.4464972,0.448038648,0.894535848,-3.035102563000045,stop_loss,1491.684681546078
2024-07-03 08:25:00,2024-07-03 08:55:00,long,62277.8,62171.48,0.0119,741.1058200000001,0.44466349200000005,0.4439043672,0.8885678592,-1.7109651317499965,stop_loss,1489.973716414328
2024-07-03 09:20:00,2024-07-03 09:25:00,short,62011.3,62129.89,0.012,744.1356000000001,0.44648136,0.44733520799999993,0.8938165679999999,-1.8707252644999581,stop_loss,1488.102991149828
2024-07-03 09:55:00,2024-07-03 10:00:00,short,61908.7,61718.274999999994,0.012,742.9044,0.44574263999999997,0.44437157999999993,0.8901142199999998,1.840418876500035,take_profit,1489.9434100263281
2024-07-03 12:15:00,2024-07-03 12:20:00,short,60951.4,60909.19,0.0122,743.6070800000001,0.44616424800000004,0.4458552708,0.8920195188,0.06879689291665605,take_profit,1490.0122069192448
2024-07-03 12:40:00,2024-07-03 12:50:00,short,60888.0,60820.095,0.0122,742.8336,0.44570016,0.44520309539999997,0.8909032554,0.3826188765999859,take_profit,1490.3948257958448
2024-07-03 13:50:00,2024-07-03 14:05:00,long,61027.3,61123.600000000006,0.0122,744.5330600000001,0.44671983600000004,0.44742475200000004,0.8941445880000001,0.7265045816750354,take_profit,1491.1213303775198
2024-07-03 14:10:00,2024-07-03 14:45:00,long,61149.3,61022.869999999995,0.012100000000000001,739.9065300000001,0.443943918,0.44302603620000003,0.8869699542,-1.9749870969125918,stop_loss,1489.1463432806072
2024-07-03 15:15:00,2024-07-03 15:20:00,short,60985.7,61030.29,0.0122,744.02554,0.44641532399999995,0.4467417228,0.8931570468,-0.9910497334417129,stop_loss,1488.1552935471655
2024-07-03 15:25:00,2024-07-03 15:30:00,short,60986.7,60952.22999999998,0.012100000000000001,737.93907,0.44276344199999995,0.4425131897999999,0.8852766317999998,-0.02573366441230965,take_profit,1488.1295598827533
2024-07-03 15:50:00,2024-07-03 16:30:00,short,60874.8,60963.88999999999,0.0122,742.6725600000001,0.445603536,0.44625567479999995,0.8918592108,-1.5356292499998687,stop_loss,1486.5939306327534
2024-07-03 16:45:00,2024-07-03 16:55:00,short,60836.6,60783.709999999985,0.0122,742.2065200000001,0.445323912,0.44493675719999987,0.8902606691999999,0.19970273736683733,take_profit,1486.7936333701202
2024-07-03 17:15:00,2024-07-03 18:15:00,short,60584.7,60373.95,0.0122,739.13334,0.4434800039999999,0.44193731399999997,0.8854173179999999,2.1255170193,take_profit,1488.9191503894203
2024-07-03 19:55:00,2024-07-03 20:05:00,long,60391.6,60302.42,0.0123,742.81668,0.44569000799999997,0.4450318595999999,0.8907218675999999,-1.5425648735000033,stop_loss,1487.3765855159204
2024-07-03 20:15:00,2024-07-03 20:20:00,short,60242.9,60282.05,0.0123,740.98767,0.44459260199999995,0.444881529,0.889474131,-0.926735273862518,stop_loss,1486.449850242058
2024-07-03 20:40:00,2024-07-03 21:10:00,short,60062.5,59777.080000000016,0.0123,738.76875,0.44326124999999994,0.4411548504000001,0.8844161004,3.0676642277247996,take_profit,1489.5175144697828
2024-07-03 21:40:00,2024-07-03 23:05:00,long,60520.0,60188.79,0.0122,738.344,0.44300639999999997,0.4405819428,0.8835883428,-4.486573879466656,stop_loss,1485.030940590316
2024-07-03 23:10:00,2024-07-03 23:25:00,short,60073.4,60305.21,0.0123,738.90282,0.44334169199999995,0.44505244979999997,0.8883941417999999,-3.297239078324971,stop_loss,1481.733701511991
2024-07-04 00:00:00,2024-07-04 00:15:00,short,60187.2,60286.93000000001,0.0123,740.30256,0.44418153599999993,0.4449175434,0.8890990794,-1.672521921600129,stop_loss,1480.061179590391
2024-07-04 00:30:00,2024-07-04 01:40:00,long,60615.9,60313.23,0.0122,739.5139800000001,0.443708388,0.4414928436,0.8852012316,-4.138380675149979,stop_loss,1475.922798915241
2024-07-04 01:50:00,2024-07-04 02:05:00,short,60238.1,60397.27,0.0122,734.90482,0.4409428919999999,0.4421080163999999,0.8830509083999998,-2.3849006474249785,stop_loss,1473.537898267816
2024-07-04 02:45:00,2024-07-04 02:50:00,long,60426.6,60371.44,0.012100000000000001,731.16186,0.438697116,0.43829665440000004,0.8769937704,-1.1060373051749544,stop_loss,1472.431860962641
2024-07-04 03:05:00,2024-07-04 04:00:00,short,60066.0,59688.58499999999,0.0122,732.8052,0.43968312,0.43692044219999987,0.8766035621999999,4.1641838673001,take_profit,1476.596044829941
2024-07-04 04:15:00,2024-07-04 04:20:00,short,59731.2,59837.21,0.0123,734.69376,0.44081625599999996,0.4415986098,0.8824148658,-1.745827732200025,stop_loss,1474.850217097741
2024-07-04 04:25:00,2024-07-04 04:30:00,short,59784.2,59759.13499999998,0.0123,735.34566,0.4412073959999999,0.44102241629999983,0.8822298122999997,-0.1330293103247922,take_profit,1474.7171877874162
2024-07-04 04:40:00,2024-07-04 04:50:00,short,59699.5,59749.85,0.0123,734.30385,0.44058231,0.44095389299999993,0.8815362029999999,-1.0608708128749822,stop_loss,1473.6563169745411
2024-07-04 05:35:00,2024-07-04 06:00:00,long,60006.0,60341.86499999999,0.0122,732.0732,0.43924392,0.4417024517999999,0.8809463717999999,3.6543253956998867,take_profit,1477.310642370241
2024-07-04 06:15:00,2024-07-04 08:25:00,long,60245.1,60417.81,0.0122,734.99022,0.440994132,0.4422583692,0.8832525012,1.6568412367499894,take_profit,1478.9674836069912
2024-07-04 08:35:00,2024-07-04 09:10:00,long,60391.0,60314.9,0.0122,736.7702,0.44206212,0.441505068,0.883567188,-1.3720739810833158,stop_loss,1477.595409625908
2024-07-04 11:15:00,2024-07-04 11:25:00,short,58944.6,58851.345,0.0125,736.8075,0.4420845,0.4413850875,0.8834695875,0.7236884062499673,take_profit,1478.3190980321579
2024-07-04 12:45:00,2024-07-04 12:55:00,short,58942.0,58981.19,0.0125,736.7750000000001,0.44206500000000004,0.442358925,0.8844239250000001,-0.9328479041666957,stop_loss,1477.3862501279912
2024-07-04 13:15:00,2024-07-04 13:30:00,short,58879.1,58932.920000000006,0.0125,735.98875,0.44159324999999994,0.4419969000000001,0.8835901500000001,-1.1156668859375873,stop_loss,1476.2705832420536
2024-07-04 14:10:00,2024-07-04 14:20:00,short,58862.7,58786.49999999999,0.0125,735.78375,0.44147025,0.44089874999999995,0.882369,0.5109880968750546,take_profit,1476.7815713389286
2024-07-04 14:25:00,2024-07-04 14:35:00,short,58742.0,58549.29500000001,0.0125,734.2750000000001,0.44056500000000004,0.4391197125000001,0.8796847125000001,1.9690808916665063,take_profit,1478.750652230595
2024-07-04 15:15:00,2024-07-04 15:20:00,short,58757.7,58678.95,0.0125,734.47125,0.44068275,0.440092125,0.880774875,0.5439768453124999,take_profit,1479.2946290759076
2024-07-04 15:30:00,2024-07-04 16:35:00,short,58450.2,57994.95,0.0126,736.4725199999999,0.4418835119999999,0.4384418219999999,0.8803253339999999,5.293718951850001,take_profit,1484.5883480277575
2024-07-04 19:10:00,2024-07-04 19:30:00,long,58037.8,57730.240000000005,0.012700000000000001,737.0800600000001,0.442248036,0.4399044288,0.8821524648000001,-4.347144895566637,stop_loss,1480.241203132191
2024-07-04 20:10:00,2024-07-04 20:30:00,short,57601.6,57414.54999999999,0.0128,737.30048,0.44238028799999995,0.4409437439999999,0.8833240319999999,1.9520674218667973,take_profit,1482.1932705540578
2024-07-04 20:45:00,2024-07-04 20:50:00,short,57518.6,57392.81,0.0128,736.23808,0.44174284799999997,0.4407767808,0.8825196287999999,1.1690284533333446,take_profit,1483.3622990073911
2024-07-04 20:55:00,2024-07-04 22:05:00,short,57199.2,57514.58,0.0129,737.86968,0.442721808,0.4451628492,0.8878846572,-4.51786908900006,stop_loss,1478.8444299183911
2024-07-04 22:50:00,2024-07-04 23:45:00,long,57472.1,57770.64499999999,0.0128,735.64288,0.441385728,0.44367855359999986,0.8850642815999998,3.3743257498665518,take_profit,1482.2187556682577
2024-07-04 23:50:00,2024-07-05 03:35:00,long,57982.4,58608.67999999999,0.012700000000000001,736.3764800000001,0.44182588800000006,0.44659814159999994,0.8884240296,7.493350799399893,take_profit,1489.7121064676576
2024-07-05 03:40:00,2024-07-05 03:50:00,long,58560.6,58350.31999999999,0.012700000000000001,743.7196200000001,0.446231772,0.4446294383999999,0.8908612104,-3.1158052047500777,stop_loss,1486.5963012629074
2024-07-05 04:25:00,2024-07-05 04:55:00,short,58211.6,58299.990000000005,0.012700000000000001,739.28732,0.443572392,0.44424592380000005,0.8878183158,-1.5686471421000852,stop_loss,1485.0276541208073
2024-07-05 05:15:00,2024-07-05 06:10:00,long,58482.9,58791.07500000001,0.0126,736.88454,0.442130724,0.44446052700000005,0.886591251,3.435167085525128,take_profit,1488.4628212063324
2024-07-05 06:50:00,2024-07-05 07:05:00,short,58220.0,57959.69,0.012700000000000001,739.3940000000001,0.44363640000000004,0.44165283780000003,0.8852892378000001,2.863359919699971,take_profit,1491.3261811260322
2024-07-05 07:20:00,2024-07-05 07:35:00,short,57935.1,57664.395000000004,0.0128,741.56928,0.444941568,0.4428625536,0.8878041216,3.0212344847999297,take_profit,1494.347415610832
2024-07-05 09:10:00,2024-07-05 09:15:00,long,57444.1,57231.87999999999,0.0129,741.0288899999999,0.4446173339999999,0.4429747511999999,0.8875920851999999,-3.180921513237609,stop_loss,1491.1664940975945
2024-07-05 10:15:00,2024-07-05 10:35:00,short,56843.1,57045.27,0.0131,744.6446100000001,0.446786766,0.4483758222,0.8951625882,-3.0980438965499775,stop_loss,1488.0684502010445
2024-07-05 10:40:00,2024-07-05 10:55:00,short,56720.0,56367.54500000001,0.0131,743.032,0.44581919999999997,0.4430489037000001,0.8888681037000001,4.173182806299833,take_profit,1492.2416330073443
2024-07-05 12:10:00,2024-07-05 12:15:00,short,55289.6,55207.01,0.0134,740.88064,0.44452838399999994,0.4438643604,0.8883927443999999,0.6625329393332867,take_profit,1492.9041659466775
