Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-01 04:30:00,29332.81,29373.6,29029.4,29220.31,1166.131464,2021-01-01 04:59:59.999,34035038.13427395,30791,576.93926700,16837229.66272191,0
2021-01-01 05:00:00,29220.31,29235.28,29084.11,29161.28,873.503629,2021-01-01 05:29:59.999,25463346.95444114,24030,359.70261700,10486448.20589110,0
2021-01-01 05:30:00,29161.28,29213.4,29113.8,29187.01,596.452633,2021-01-01 05:59:59.999,17401191.74991697,17770,320.14412500,9340742.08658152,0
2021-01-01 06:00:00,29187.01,29270.0,29100.0,29100.0,663.325467,2021-01-01 06:29:59.999,19367424.20954332,22430,322.16157100,9407749.06471510,0
2021-01-01 06:30:00,29100.0,29205.76,29077.32,29174.35,757.400824,2021-01-01 06:59:59.999,22078588.80864673,23970,376.98110500,10990573.69520663,0
2021-01-01 07:00:00,29174.35,29191.98,28806.54,29018.83,1729.839824,2021-01-01 07:29:59.999,50133895.47990810,34653,721.01282000,20899624.76458985,0
2021-01-01 07:30:00,29018.83,29100.96,29000.0,29092.83,650.341094,2021-01-01 07:59:59.999,18900723.61499130,18505,333.70817100,9698832.63789321,0
2021-01-01 08:00:00,29092.84,29178.03,28872.24,29033.9,1170.22345,2021-01-01 08:29:59.999,33944123.55316449,32464,574.77011000,16674981.55009081,0
2021-01-01 08:30:00,29033.93,29122.0,28931.32,29000.01,837.942289,2021-01-01 08:59:59.999,24330067.14545740,22548,447.29606000,12987466.17589508,0
2021-01-01 09:00:00,29000.01,29236.03,28970.0,29181.07,1092.376162,2021-01-01 09:29:59.999,31820958.94416961,22124,640.73968400,18669802.46547883,0
2021-01-01 09:30:00,29181.06,29307.73,29174.47,29202.21,929.67986,2021-01-01 09:59:59.999,27185553.31681639,21550,567.73789400,16602914.88676383,0
2021-01-01 10:00:00,29202.21,29344.97,29152.88,29221.71,1114.278126,2021-01-01 10:29:59.999,32601116.56939804,24687,603.55111700,17658536.97764287,0
2021-01-01 10:30:00,29221.7,29311.0,29200.01,29223.82,829.977715,2021-01-01 10:59:59.999,24280807.30665920,22096,410.98720200,12024490.84135565,0
2021-01-01 11:00:00,29223.82,29375.96,29212.44,29366.35,1290.247428,2021-01-01 11:29:59.999,37813571.87417180,27546,695.19782000,20376541.67314850,0
2021-01-01 11:30:00,29368.93,29402.57,29238.49,29313.49,1018.980289,2021-01-01 11:59:59.999,29867337.53810635,22337,613.81499600,17994955.92694133,0
2021-01-01 12:00:00,29313.49,29448.0,29186.63,29443.65,1119.54677,2021-01-01 12:29:59.999,32834332.08411880,26408,599.71023000,17594055.80218603,0
2021-01-01 12:30:00,29443.65,29600.0,29150.0,29233.49,3072.368391,2021-01-01 12:59:59.999,90419506.15205230,56437,1733.59652300,51055141.39042132,0
2021-01-01 13:00:00,29233.49,29420.0,29200.0,29389.36,1225.47501,2021-01-01 13:29:59.999,35945223.19137693,27827,591.31266900,17347656.39853495,0
2021-01-01 13:30:00,29389.36,29470.0,29354.7,29464.79,985.82328,2021-01-01 13:59:59.999,29007388.98705454,23593,511.09143100,15037948.38654339,0
2021-01-01 14:00:00,29464.79,29530.0,29356.05,29415.94,1497.128295,2021-01-01 14:29:59.999,44077975.53659361,33538,739.11238800,21762925.45711608,0
2021-01-01 14:30:00,29415.95,29440.12,29266.15,29327.84,1115.543875,2021-01-01 14:59:59.999,32746386.99705171,29803,512.69632100,15050286.64147619,0
2021-01-01 15:00:00,29327.83,29391.0,29223.0,29297.04,1251.692479,2021-01-01 15:29:59.999,36692571.79823257,35617,659.25600200,19326331.11113432,0
2021-01-01 15:30:00,29297.03,29297.04,29030.14,29188.67,1527.371415,2021-01-01 15:59:59.999,44539430.68942422,36349,603.32415100,17595772.02020818,0
2021-01-01 16:00:00,29188.67,29325.0,29125.0,29277.11,863.65672,2021-01-01 16:29:59.999,25245330.80164365,23634,464.89858400,13589777.50428680,0
2021-01-01 16:30:00,29277.11,29360.0,29249.23,29300.57,626.672764,2021-01-01 16:59:59.999,18365061.07289753,17952,309.41389300,9067766.18205812,0
2021-01-01 17:00:00,29300.79,29339.76,29230.0,29277.25,678.967737,2021-01-01 17:29:59.999,19886095.63042447,18293,296.42519200,8681203.97859029,0
2021-01-01 17:30:00,29277.24,29277.24,28937.0,29079.64,1826.009362,2021-01-01 17:59:59.999,53137344.70490661,39717,722.69285900,21034284.83753671,0
2021-01-01 18:00:00,29077.59,29259.98,28984.85,29021.88,1408.47239,2021-01-01 18:29:59.999,41044246.10059408,33952,653.77712700,19055078.25664220,0
2021-01-01 18:30:00,29021.88,29103.18,28624.57,29072.7,2817.957651,2021-01-01 18:59:59.999,81436319.64249854,54904,1147.76490500,33181726.16694630,0
2021-01-01 19:00:00,29072.7,29125.31,28950.0,29055.08,999.785781,2021-01-01 19:29:59.999,29026336.92922736,28452,453.47909200,13166877.74188139,0
2021-01-01 19:30:00,29055.08,29125.32,29002.1,29029.04,629.44294,2021-01-01 19:59:59.999,18298391.35438333,20586,298.56592300,8680715.26308196,0
2021-01-01 20:00:00,29029.04,29245.17,28880.37,29212.62,1139.465153,2021-01-01 20:29:59.999,33173807.71346387,29715,593.66862300,17286305.79125238,0
2021-01-01 20:30:00,29212.62,29279.72,29146.6,29200.96,699.083929,2021-01-01 20:59:59.999,20416290.42542161,23234,366.56034000,10706346.05618976,0
2021-01-01 21:00:00,29200.97,29239.99,29164.7,29225.79,701.146708,2021-01-01 21:29:59.999,20479179.29676304,16137,374.60642000,10941347.34126127,0
2021-01-01 21:30:00,29225.8,29289.82,29130.0,29160.39,746.082933,2021-01-01 21:59:59.999,21806182.21924301,18044,401.71767300,11743304.13094230,0
2021-01-01 22:00:00,29163.17,29303.57,29104.57,29270.9,631.976368,2021-01-01 22:29:59.999,18475795.92152470,20499,346.40383700,10130043.12609564,0
2021-01-01 22:30:00,29270.9,29326.74,29233.0,29262.32,495.059529,2021-01-01 22:59:59.999,14496487.61626238,17034,206.08201800,6035183.44512269,0
2021-01-01 23:00:00,29262.32,29309.9,29228.14,29276.25,447.061952,2021-01-01 23:29:59.999,13087112.17038010,14484,227.95050700,6673528.19283483,0
